Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,379.450012,381.799988,359.700012,366.950012,296.435394,54869714
2016-02-02,348.100006,349.799988,330.100006,335.100006,270.705811,83735685
2016-02-03,332.350006,337.100006,324.549988,332.350006,268.484253,54849782
2016-02-04,341.000000,354.399994,338.200012,350.850006,283.429260,59332758
2016-02-05,350.000000,356.549988,345.399994,350.649994,283.267639,34045330
2016-02-08,352.899994,353.399994,337.850006,343.899994,277.814789,36702379
2016-02-09,344.500000,347.700012,334.450012,334.450012,270.180725,44362725
2016-02-10,335.200012,337.700012,326.399994,330.100006,266.666656,40080067
2016-02-11,319.700012,321.087006,309.100006,310.250000,256.070953,48991591
2016-02-12,317.000000,332.833008,316.105988,332.500000,274.435455,56260825
2016-02-15,339.600006,339.850006,331.750000,332.799988,274.683044,36500385
2016-02-16,341.250000,348.250000,334.279999,337.399994,278.479736,54103093
2016-02-17,336.049988,350.950012,335.149994,349.850006,288.755615,53916643
2016-02-18,351.000000,352.299988,310.000000,345.399994,285.082703,43395070
2016-02-19,345.250000,351.000000,341.000000,343.250000,283.308228,24990247
2016-02-22,347.600006,358.899994,347.600006,356.649994,294.368134,20966888
2016-02-23,354.000000,354.600006,344.149994,345.350006,285.041473,39008786
2016-02-24,343.149994,344.049988,332.556000,335.000000,276.498840,52554241
2016-02-25,339.549988,346.485992,336.251007,338.450012,279.346405,36265694
2016-02-26,343.299988,351.500000,341.600006,349.549988,288.507996,40426721
2016-02-29,347.000000,351.549988,344.649994,351.450012,290.076263,41325531
2016-03-01,351.000000,355.350006,347.950012,350.649994,289.415894,29134378
2016-03-02,353.000000,353.899994,346.100006,352.899994,291.273010,35522725
2016-03-03,355.000000,364.700012,352.382996,362.000000,298.783905,53825911
2016-03-04,365.000000,371.154999,360.899994,367.899994,303.653503,36800787
2016-03-07,365.049988,368.350006,355.750000,365.549988,301.713898,48195426
2016-03-08,363.899994,364.450012,351.149994,354.200012,292.346008,45587032
2016-03-09,350.799988,357.450012,350.450012,356.000000,293.831635,41266100
2016-03-10,354.950012,356.649994,343.149994,343.200012,283.266937,44584386
2016-03-11,349.000000,355.799988,344.799988,348.399994,287.558807,36637371
2016-03-14,349.450012,353.100006,335.618988,345.450012,285.123993,34796869
2016-03-15,342.000000,344.350006,339.899994,342.000000,282.276489,32097540
2016-03-16,346.000000,354.450012,344.299988,350.100006,288.961945,36317190
2016-03-17,355.200012,360.399994,342.199005,359.600006,296.802979,38711844
