Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,1080.979980,1082.729980,1065.160034,1079.670044,921.814392,7175449
2016-02-02,1079.449951,1081.640015,1068.660034,1074.869995,917.716064,9066323
2016-02-03,1073.560059,1082.619995,1060.260010,1063.420044,907.940308,8150789
2016-02-04,1074.550049,1076.729980,1058.839966,1065.380005,909.613586,7196444
2016-02-05,1063.530029,1067.560059,1042.469971,1046.180054,893.220886,7786564
2016-02-08,1050.109985,1054.359985,1032.660034,1035.930054,884.469421,9424085
2016-02-09,1039.640015,1046.400024,1022.619995,1029.489990,878.970947,9054863
2016-02-10,1032.550049,1036.469971,1019.929993,1027.420044,877.203674,9469036
2016-02-11,1029.819946,1032.550049,1009.690002,1016.619995,867.982727,11081017
2016-02-12,1021.849976,1025.339966,1012.039978,1022.619995,873.105469,8479842
2016-02-15,1036.260010,1045.739990,1030.150024,1039.199951,887.261230,4504107
2016-02-16,1042.260010,1042.359985,1032.439941,1042.359985,889.959229,5962702
2016-02-17,1046.510010,1049.510010,1028.000000,1042.150024,889.780029,7624396
2016-02-18,1043.449951,1053.709961,1042.040039,1051.739990,897.967896,5689993
2016-02-19,1050.550049,1052.180054,1046.069946,1052.180054,898.343628,5242489
2016-02-22,1061.670044,1067.020020,1054.469971,1063.640015,908.128113,3373662
2016-02-23,1062.550049,1065.819946,1049.560059,1051.640015,897.882507,6314427
2016-02-24,1054.469971,1054.469971,1039.530029,1042.150024,889.780029,5980100
2016-02-25,1054.150024,1067.780029,1054.150024,1064.180054,908.589172,6204101
2016-02-26,1072.359985,1077.160034,1058.180054,1058.180054,903.466309,5637943
2016-02-29,1051.089966,1052.069946,1045.530029,1051.089966,897.412842,6623636
2016-03-01,1050.979980,1056.329956,1046.180054,1052.729980,898.813171,5879575
2016-03-02,1052.729980,1055.339966,1034.939941,1038.869995,886.979553,6080492
2016-03-03,1040.180054,1042.910034,1018.150024,1023.820007,874.130005,9317370
2016-03-04,1027.420044,1034.729980,1021.530029,1030.359985,879.713867,8409157
2016-03-07,1032.439941,1039.849976,1021.309998,1026.000000,875.991333,6037553
2016-03-08,1020.109985,1037.780029,1016.729980,1035.060059,883.726746,6845967
2016-03-09,1036.359985,1051.530029,1032.760010,1047.709961,894.527039,6001267
2016-03-10,1047.270020,1070.400024,1046.180054,1046.180054,893.220886,13103927
2016-03-11,1051.089966,1056.869995,1046.290039,1053.270020,899.274170,4536604
2016-03-14,1054.910034,1057.849976,1050.109985,1055.449951,901.135437,4702903
2016-03-15,1053.819946,1063.199951,1049.130005,1061.020020,905.890991,4627320
2016-03-16,1065.160034,1065.709961,1056.869995,1058.400024,903.654236,4728411
2016-03-17,1065.709961,1073.780029,1059.489990,1073.020020,916.136719,6090907
2016-03-18,1073.020020,1075.089966,1062.109985,1062.760010,907.376648,7905651
2016-03-21,1058.939941,1068.660034,1056.660034,1068.660034,912.414063,4319135
2016-03-22,1065.160034,1069.959961,1059.060059,1062.439941,907.103394,5143058
2016-03-23,1070.290039,1073.239990,1062.109985,1072.910034,916.042725,4469602
2016-03-24,1066.040039,1079.890015,1065.829956,1069.959961,913.523987,6043028
2016-03-29,1075.089966,1079.780029,1071.709961,1076.290039,918.928589,5742058
2016-03-30,1083.060059,1088.939941,1077.750000,1083.819946,925.357544,6205458
2016-03-31,1080.869995,1081.420044,1074.010010,1076.939941,919.483398,7882838
2016-04-01,1065.060059,1071.819946,1058.729980,1068.329956,912.132263,7632608
2016-04-04,1069.640015,1085.239990,1066.209961,1075.420044,918.185669,5217126
2016-04-05,1073.890015,1082.510010,1069.369995,1075.089966,917.903931,6665874
2016-04-06,1077.709961,1084.359985,1074.000000,1084.359985,925.818665,6629530
2016-04-07,1087.530029,1094.729980,1080.550049,1088.939941,929.728943,6114507
2016-04-08,1094.180054,1094.180054,1081.640015,1091.449951,931.871887,4619954
2016-04-11,1091.449951,1091.449951,1080.219971,1081.530029,923.402283,3983401
2016-04-12,1081.089966,1086.979980,1068.760010,1084.260010,925.733093,5523646
